CNTR_NUM,CNTR_TEU,IS_20,IS_40,IS_45,IS_GP,IS_HQ,IS_XX,TARIFF_CODE,VGM_WT,IS_OVERWT,GC_IND,PCT_IND,RF_IND,DG_IND,AW_IND,IS_NORTH_BOUND,IS_EAST_BOUND,IS_TOP_COMMODITY,IS_CARRIER_IND,BOX_COUNT,ETA_DD,ETA_MO,LADEN_PICKUP_FCIL_CDE,MTY_RTN_FCIL_CDE,MTY_RTN_TRANSITTIME_ACTUAL
XXXX741852,2,0,1,0,1,0,0,3,9,0,1,0,0,0,0,0,1,0,1,6,4,06,LGB10,LGB10,150
XXXX683880,2,0,1,0,0,1,0,3,11,0,1,0,0,0,0,0,1,0,1,4,4,07,LGB10,LGB10,159
XXXX775266,2,0,1,0,1,0,0,3,10,0,1,0,0,0,0,0,1,0,1,4,4,07,LGB10,LGB10,134
XXXX835343,2,0,1,0,0,1,0,3,9,0,1,0,0,0,0,0,1,0,1,2,4,06,LGB10,LGB10,119
XXXX430712,2,0,1,0,1,0,0,3,10,0,1,0,0,0,0,0,1,0,1,1,4,06,LGB10,LGB10,121
XXXX640080,2,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,1,0,1,5,3,07,LGB10,LGB10,143
XXXX883451,2,0,1,0,0,1,0,3,9,0,1,0,0,0,0,0,1,0,1,1,4,06,LGB10,LGB10,132
XXXX674231,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,0,1,1,5,07,LGB10,LGB10,111
XXXX687802,2,0,1,0,0,1,0,3,10,0,1,0,0,0,0,0,1,0,1,4,4,07,LGB10,LGB10,142
XXXX837008,2,0,1,0,0,1,0,3,17,0,1,0,0,0,0,0,1,0,1,1,5,07,LGB10,LGB10,93
XXXX981701,2,0,1,0,0,1,0,3,17,0,1,0,0,0,0,0,1,0,1,3,5,07,LGB10,LGB10,139
XXXX750052,2,0,1,0,0,1,0,3,16,0,1,0,0,0,0,0,1,0,1,1,5,07,LGB10,LGB10,119
XXXX812228,2,0,1,0,0,1,0,3,15,0,1,0,0,0,0,0,1,0,1,2,5,07,LGB10,LGB10,142
XXXX567438,2,0,1,0,0,1,0,3,17,0,1,0,0,0,0,0,1,0,1,3,5,07,LGB10,LGB10,130
XXXX924848,2,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,1,0,1,5,5,07,LGB10,LGB10,108
XXXX438170,2,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,1,0,1,5,5,07,LGB10,LGB10,96
XXXX971626,2,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,1,0,1,5,5,07,LGB10,LGB10,106
XXXX692154,2,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,1,0,1,5,5,07,LGB10,LGB10,120
XXXX952838,2,0,1,0,0,1,0,3,10,0,1,0,0,0,0,0,1,0,1,1,4,07,LGB10,LGB10,208
XXXX795161,2,0,1,0,1,0,0,3,10,0,1,0,0,0,0,0,1,0,1,4,3,07,LGB10,LGB10,140
XXXX687842,2,0,1,0,0,1,0,3,9,0,1,0,0,0,0,0,1,0,1,7,3,07,LGB10,LGB10,134
XXXX928379,2,0,1,0,0,1,0,3,19,0,1,0,0,0,0,0,1,0,1,5,3,07,LGB10,LGB10,120
XXXX690752,2,0,1,0,0,1,0,3,14,0,1,0,0,0,0,0,1,0,1,1,3,07,LGB10,LGB10,153
XXXX936606,2,0,1,0,0,1,0,3,9,0,1,0,0,0,0,0,1,0,1,1,3,07,LGB10,LGB10,206
XXXX939406,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,1,1,15,5,07,LGB10,LGB10,121
XXXX828802,2,0,1,0,0,1,0,3,11,0,1,0,0,0,0,0,1,0,1,4,3,07,LGB10,LGB10,182
XXXX813300,2,0,1,0,0,1,0,3,11,0,1,0,0,0,0,0,1,0,1,4,3,07,LGB10,LGB10,140
XXXX910768,2,0,1,0,0,1,0,3,9,0,1,0,0,0,0,0,1,0,1,7,3,07,LGB10,LGB10,90
XXXX861710,2,0,1,0,0,1,0,3,8,0,1,0,0,0,0,0,1,0,1,1,4,07,LGB10,LGB10,160
XXXX147468,2,0,1,0,0,1,0,3,17,0,1,0,0,0,0,0,1,0,1,1,3,07,LGB10,LGB10,80
XXXX837465,2,0,1,0,0,1,0,3,8,0,1,0,0,0,0,0,1,0,1,1,4,07,LGB10,LGB10,173
XXXX919489,2,0,1,0,0,1,0,3,10,0,1,0,0,0,0,0,1,0,1,2,3,07,LGB10,LGB10,168
XXXX957393,2,0,1,0,0,1,0,3,10,0,1,0,0,0,0,0,1,0,1,1,4,07,LGB10,LGB10,145
XXXX903460,2,0,0,1,0,1,0,3,14,0,1,0,0,0,0,0,1,0,1,1,3,07,LGB10,LGB10,203
XXXX992563,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,1,1,15,5,07,LGB10,LGB10,119
XXXX746483,2,0,1,0,1,0,0,3,10,0,1,0,0,0,0,0,1,0,1,4,3,07,LGB10,LGB10,177
XXXX962859,2,0,1,0,0,1,0,3,9,0,1,0,0,0,0,0,1,0,1,7,3,07,LGB10,LGB10,113
XXXX893395,2,0,1,0,0,1,0,3,9,0,1,0,0,0,0,0,1,0,1,2,3,07,LGB10,LGB10,148
XXXX968900,2,0,1,0,0,1,0,3,9,0,1,0,0,0,0,0,1,0,1,7,3,07,LGB10,LGB10,78
XXXX154193,2,0,1,0,0,1,0,3,10,0,1,0,0,0,0,0,1,0,1,2,3,07,LGB10,LGB10,141
XXXX962281,2,0,1,0,0,1,0,3,9,0,1,0,0,0,0,0,1,0,1,2,3,07,LGB10,LGB10,127
XXXX932904,2,0,1,0,0,1,0,3,8,0,1,0,0,0,0,0,1,0,1,1,3,07,LGB10,LGB10,169
XXXX972596,2,0,1,0,0,1,0,3,11,0,1,0,0,0,0,0,1,1,1,15,5,07,LGB10,LGB10,133
XXXX847513,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,1,1,12,3,07,LGB10,LGB10,120
XXXX934345,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,1,1,12,3,07,LGB10,LGB10,120
XXXX876985,2,0,1,0,0,1,0,3,10,0,1,0,0,0,0,0,1,1,1,11,5,07,LGB10,LGB10,137
XXXX998659,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,1,1,11,5,07,LGB10,LGB10,120
XXXX673066,2,0,1,0,0,1,0,3,9,0,1,0,0,0,0,0,1,1,1,11,5,07,LGB10,LGB10,120
XXXX948654,2,0,1,0,0,1,0,3,9,0,1,0,0,0,0,0,1,1,1,11,5,07,LGB10,LGB10,159
XXXX656607,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,1,1,11,5,07,LGB10,LGB10,98
XXXX943539,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,1,1,11,5,07,LGB10,LGB10,134
XXXX827661,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,1,1,12,3,07,LGB10,LGB10,202
XXXX891048,2,0,1,0,0,1,0,3,17,0,1,0,0,0,0,0,1,0,1,3,5,07,LGB10,LGB10,131
XXXX725996,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,1,1,15,5,07,LGB10,LGB10,133
XXXX965441,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,1,1,15,5,07,LGB10,LGB10,115
XXXX851914,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,1,1,15,5,07,LGB10,LGB10,84
XXXX881459,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,1,1,15,5,07,LGB10,LGB10,107
XXXX882172,2,0,1,0,0,1,0,3,11,0,1,0,0,0,0,0,1,1,1,15,5,07,LGB10,LGB10,158
XXXX920638,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,1,1,15,5,07,LGB10,LGB10,121
XXXX888220,2,0,1,0,0,1,0,3,11,0,1,0,0,0,0,0,1,1,1,15,5,07,LGB10,LGB10,123
XXXX874605,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,1,1,11,5,07,LGB10,LGB10,161
XXXX654087,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,1,1,12,3,07,LGB10,LGB10,153
XXXX925032,2,0,1,0,0,1,0,3,11,0,1,0,0,0,0,0,1,1,1,15,5,07,LGB10,LGB10,117
XXXX689666,2,0,1,0,0,1,0,3,11,0,1,0,0,0,0,0,1,1,1,15,5,07,LGB10,LGB10,120
XXXX987427,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,1,1,12,3,07,LGB10,LGB10,94
XXXX967625,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,1,1,12,3,07,LGB10,LGB10,96
XXXX942335,2,0,1,0,0,1,0,3,12,0,1,0,0,0,0,0,1,1,1,12,3,07,LGB10,LGB10,145
